rank,branch_name,checkpoint,time,reached_at
1,glauberm,11.33,11.33635036696,2026-03-02 08:19:00
2,xHeaven,11.49,11.49283066074,2026-02-28 19:57:29
3,armstrongsam25,11.50,11.50496308214,2026-03-01 21:24:00
